food_name,calories,carbohydrates,protein,fat
saffron biscuit (kesar biscuit),458.61,59.7,6.05,22.01
masala biscuit,393.64,45.18,6.06,20.75
ice box cookies,374.24,56.09,5.7,14.44
ginger bread man,365.0,60.26,6.61,11.01
danish cookies,475.33,58.0,5.33,24.92
short bread cookies,443.09,64.82,6.03,17.98
coffee biscuit,416.57,46.55,6.9,23.0
melting moments,437.91,55.84,5.71,21.78
ginger biscuit (adarak ke biscuit),417.91,58.44,5.98,18.31
soyabean muthias,839.33,3.7,2.46,90.45
soyabean tikki,698.17,4.39,3.53,74.02
soyabean namak paras,838.46,4.65,2.65,89.83
peanut burfi (moongfali ki burfi),550.99,48.14,9.31,36.84
spinach peanut namak paras (palak moongfali namak paras),740.16,6.62,1.65,78.51
gram flour and semolina chilla/cheela/savory pancake (besan suji chilla/cheela),758.89,7.63,2.08,80.04
rice moong dal cheela (chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44
split bengal gram sweet rice (channa dal sweet rice),190.21,41.07,4.15,0.64
sweet poori (meethi poori),782.75,14.26,2.12,79.63
wheat flour and moong dal burfi (atta aur moong dal ki burfi),441.08,60.0,9.84,18.41
spinach burfi (palak burfi),121.17,12.76,2.71,6.81
sweet split chickpea roti (sweet channa dal roti/puranpoli),366.59,62.66,9.51,7.93
sprouted moong daliya,111.56,14.77,2.81,4.71
sprouted moong poha,192.6,26.6,5.59,6.89
pearl millet ladoo (bajra ladoo),319.66,50.98,9.61,8.06
paushtik ladoo,485.87,60.34,7.65,24.98
paushtik roti,149.26,26.59,7.17,1.51
semolina carrot vada (suji gajar vada),699.53,6.52,1.56,74.07
dhokla,216.49,30.68,13.45,5.28
kashmiri tea (kehwa),24.9,5.23,0.17,0.51
steeped hot coffee,15.91,3.01,0.39,0.33
hot chocolate,90.01,9.02,3.43,4.61
cold coffee (with cream),82.76,11.98,1.93,3.29
banana milkshake with ice cream (kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77
flavoured milkshake,66.78,8.65,2.06,2.83
jal jeera,30.24,6.7,0.44,0.26
gingo,48.02,12.42,0.14,0.06
mintade,40.32,10.59,0.03,0.02
canjee,6.61,0.44,0.24,0.42
cauliflower canjee (phoolgobhi ki canjee),6.9,0.35,0.39,0.42
potato canjee (aloo canjee),16.26,2.69,0.44,0.39
vermicelli porridge (semiya/seviyan porridge),78.4,10.56,2.5,2.98
semolina upma (suji/rava upma),147.89,16.31,3.3,7.49
vermicelli upma (semiya/seviyan upma),149.11,16.88,3.11,7.45
rice upma,151.27,17.96,2.63,7.46
bread upma,129.51,12.6,2.8,7.75
vegetable upma,146.47,16.46,4.73,6.63
poha,294.53,35.05,6.09,14.14
vegetable poha,180.52,21.52,4.89,8.07
moong dal stuffed cheela/chilla (moong dal ka cheela/chilla),154.89,19.42,6.97,5.11
paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89
indian style egg bhujia (anda bhujia (indian style)),102.83,3.76,6.1,7.02
french omelette/omlet,211.04,0.41,10.03,18.86
puffy omelette/omlet,188.15,0.08,8.82,16.84
orange omelette/omlet,194.66,1.68,8.93,16.84
cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82
spanish omelette/omlet,157.45,5.1,8.25,11.44
mixed stock,25.19,0.33,2.06,1.71
meat stock,24.48,0.0,2.1,1.78
white stock,6.99,0.4,0.07,0.56
meat consomme (with mutton),29.76,0.51,14.86,13.68
consomme au julienne,27.76,1.49,12.49,10.66
consomme au vermicelli,29.94,1.3,15.23,12.98
green pea soup (matar ka soup),39.81,3.63,11.06,12.9
spinach soup (palak ka soup),32.59,3.03,10.54,14.26
mixed vegetable soup,35.71,2.95,8.22,11.66
cheese soup,41.13,1.87,12.39,17.07
mulligatawny soup,54.42,8.24,11.26,13.28
cream of carrot soup,59.77,5.69,8.27,12.35
cream of broccoli soup,56.14,3.72,8.97,12.75
cream of potato soup,60.2,6.14,8.1,12.05
almond soup (badam ka soup),78.65,3.68,10.13,13.8
cold cucumber cream soup,11.88,1.76,0.34,0.34
cold tomato soup,16.9,0.59,0.11,1.56
chicken stew,127.55,4.44,7.19,8.91
veg paneer stew,145.55,10.22,6.98,8.41
onion-green chilli parantha/paratha (pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27
methi parantha/paratha,148.36,22.19,4.27,4.34
bathua poori,598.79,13.85,2.35,59.14
gram flour poori (besan poori),697.66,10.93,2.59,71.51
beetroot poori (chukandar ki poori),527.66,12.29,1.91,52.18
peas poori (matar ki poori),592.83,14.92,3.04,57.69
peas kachori (matar kachori),584.68,13.25,3.21,57.51
pizza,146.77,9.94,6.85,8.72
bacon and mushroom pancake,157.67,8.47,6.82,10.6
cheese and tomato pancake,147.39,10.66,5.15,9.28
minced meat pancake (with chicken),116.04,8.18,12.01,10.48
eggplant/brinjal rice (vangi bhat),184.8,31.74,5.28,3.67
kashmiri 'tahar',98.21,19.11,1.95,1.37
cumin pulao (jeera/zeera pulao),135.24,23.61,2.47,3.2
peas pulao (matar pulao),108.87,18.42,3.89,1.9
split bengal gram dal and vegetable pulao (channa dal and vegetable pulao),116.53,19.72,3.6,2.3
black channa pulao/ bengal gram pulao (kale chane ka pulao),125.51,21.55,3.44,2.58
mutton pulao,130.77,11.26,6.52,10.78
chicken pulao,108.24,11.17,6.07,8.48
mexican rice,120.57,14.21,4.62,4.88
plain khitchdi (plain khichri/khichdi),57.03,10.04,1.72,1.01
instant idli (with semolina),247.29,43.4,9.16,3.61
plain dosa,380.91,64.08,10.34,8.43
masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26
masala dosa paneer fillings,243.12,29.76,10.31,8.84
uttapam,255.95,36.28,6.18,9.03
appam,267.7,13.28,3.12,22.63
beans and macaroni,136.08,14.24,4.58,7.01
meat and macaroni casserole,161.55,16.12,9.15,10.17
spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64
spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44
lasagne with meat sauce,63.38,5.38,2.9,3.43
lasagne with vegetables,49.23,5.9,1.71,2.16
home made egg noodles,240.84,42.92,6.55,4.37
sour lentils (khatti dal),34.79,6.04,2.22,0.12
urad special dehusked,69.43,8.86,3.14,2.17
arhar with spinach (arhar dal aur palak),52.84,4.77,2.05,2.76
moong dal with vadi,24.08,1.0,0.4,2.05
rasam with tamarind (puli rasam/ chintapandu rasam/ charu/saaru),26.74,3.37,1.13,0.88
rasam with lemon (nimmakaya rasam/nimmakaya charu/elumichai rasam/nimbe hannina saaru),24.41,2.85,1.11,0.87
green gram whole with baghar (sabut moong dal with tadka),63.43,6.8,3.23,2.48
urad sabut special,79.39,5.03,2.33,5.46
kabuli channa curry,68.57,7.63,2.92,3.06
besan gatte curry,189.38,16.26,7.75,10.72
dry masala chops,135.07,3.3,9.08,9.54
mutton korma,115.64,2.53,7.09,8.54
shahi keema kofta curry,418.13,1.73,4.14,43.83
minced meat ball curry,109.79,2.86,6.82,7.85
boti kebab,132.86,3.06,9.22,9.27
mutton seekh kebab,133.94,3.11,11.25,8.43
indian lamb and egg curry (nargisi kofta),335.75,2.07,3.84,34.7
soya chunks sweet and sour (nutrinugget sweet and sour),500.94,3.27,2.85,55.99
soya chunks korma (nutrinugget korma),131.43,7.67,3.86,9.5
mushroom matar,70.77,5.33,2.79,4.11
soya chunks and peas (nutrinugget matar),82.62,5.82,3.03,5.11
vegetable yakhni,406.06,1.94,1.18,43.8
spinach mushroom (palak mushroom),47.63,2.95,1.94,2.96
vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94
roast chicken,199.9,0.1,20.49,13.06
shahi chicken masala,163.7,4.07,9.82,12.02
tomato chicken,111.68,2.13,10.57,6.71
creamy chicken,152.87,3.13,13.52,9.57
broccoli chicken ala king,119.56,5.34,7.97,7.57
ginger chicken,129.17,5.6,8.24,8.24
chicken sweet and sour,445.09,2.67,6.92,47.59
chicken korma,147.96,5.43,9.83,9.67
bengal fish curry (bengali machli curry),109.43,4.42,7.26,7.03
fish finger,542.9,4.47,5.66,55.82
fish in coconut milk (nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43
prawn curry (with coconut) (jhinga curry),109.55,3.1,8.54,6.93
baked stuffed fish,121.96,2.12,16.14,5.43
fish pie,120.9,7.74,9.25,5.77
crispy baked fish,138.4,9.59,10.95,6.41
fish souffle,139.71,5.14,10.51,8.55
potato curry (aloo ki sabzi),89.56,10.42,1.52,4.47
egg curry (anda curry),117.52,4.03,5.38,8.81
vegetable curry with coconut,83.07,7.19,2.77,4.66
curd with potatoes (dahi aloo),59.9,7.15,1.56,2.72
potato kofta curry (aloo kofta curry),455.4,2.78,0.56,49.08
yam kofta curry (zimikand/suran kofta curry),322.88,3.75,0.71,33.84
jackfruit kofta curry (kathal ka kofta curry),321.08,3.17,0.8,33.83
spinach and potato (palak aloo),57.17,5.91,1.63,2.82
mooli bhujia,91.2,4.74,1.69,7.25
bathua bhujia,90.9,3.63,2.26,7.29
cabbage rolls (dry) ((pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36
cabbage rolls (curry) ((pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17
dry arbi (sookhi arbi),134.95,11.11,2.12,8.97
masala arbi,185.38,16.16,3.01,11.9
peas brinjal bhartha (matar baingan bhartha),84.55,5.02,2.05,6.05
okra/lady's fingers fry (bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27
crispy okra/crispy lady's fingers (karare bhindi),657.76,4.35,1.91,70.4
beans foogath,105.06,3.26,2.03,9.22
stuffed bittergourd (wet) (bharwa karele),162.36,4.68,1.36,15.24
jackfruit/kathal (dry),488.97,4.56,0.93,51.78
yam fried (zimikand/suran fried),491.76,5.47,0.79,51.79
"cauliflower, pea and potato bhujia (phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54
vegetable jalfrezi,68.48,5.43,1.4,4.38
vegetables stir fry,30.78,3.19,1.04,1.47
broccoli delight,40.7,2.34,2.49,2.48
dhansak (vegetarian),82.8,7.28,3.32,4.18
cauliflower basket,90.95,3.97,5.21,5.88
stuffed bottle gourd (stuffed ghiya/lauki),93.19,4.36,5.84,5.8
ducheese potato,140.54,10.94,3.6,9.01
roast potatoes,87.32,14.52,1.53,2.35
stuffed baked potatoes,100.2,11.03,3.82,4.39
potato nests,111.62,11.05,5.71,4.77
parsley potato,119.51,13.81,1.49,6.28
creamed spinach and mushroom,419.62,3.17,2.28,44.14
fricassee of mushroom,106.66,8.13,3.65,6.63
cauliflower au gratin,145.9,9.13,4.45,10.2
vegetable and cheese pie,126.88,8.76,4.03,8.28
spinach souffle,150.18,6.27,7.36,10.52
beetroot and egg salad (chukandar aur ande ka salad),84.92,3.4,3.36,6.45
sour cream potato salad,121.9,9.05,2.89,8.13
tossed green salad,49.88,3.82,1.33,3.24
spring basket salad,160.46,11.61,3.36,11.3
cucumber and yogurt salad (kheere aur dahi ka salad),36.13,4.72,2.09,0.93
chicken and tomato towers,100.55,2.36,6.9,6.99
jellied sunshine fruit salad,48.86,4.21,5.85,0.85
tomato aspic,50.37,5.02,6.87,0.26
frozen frosty fruit salad (phalon ka salaad),103.51,15.61,1.68,4.17
french dressing,733.77,3.68,0.32,79.65
mayonnaise without eggs,329.05,3.98,2.13,33.84
curd dressing,78.8,8.03,5.59,2.9
carrot raita (gajar ka raita),64.78,7.19,4.14,2.19
pumpkin raita (kaddu ka raita),55.6,6.02,3.74,1.88
mint and peanut raita (pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19
spinach raita (palak ka raita),52.75,5.06,3.95,1.86
bathua raita,54.4,5.31,4.13,1.76
pineapple raita (ananas ka raita),67.74,8.62,3.9,2.02
banana raita (kele ka raita),89.03,13.51,4.13,2.07
mango raita (aam ka raita),67.37,8.23,3.9,2.14
guava raita (amarood ka raita),64.36,7.27,4.19,2.07
grapes raita (angoor ka raita),72.59,9.66,3.98,2.07
bottle gourd kheer (ghiya/lauki kheer),84.07,10.0,2.7,3.86
pumpkin kheer (kaddu ki kheer),86.35,10.44,2.76,3.86
apple kheer (seb ki kheer),81.3,11.34,2.14,3.18
caramel custard (baked),122.7,14.95,5.11,5.01
vanilla ice cream without egg,228.67,14.21,2.69,18.15
vanilla ice cream with egg,214.85,11.71,4.16,17.02
strawberry ice cream,215.61,12.26,4.15,16.96
chocochip ice cream,241.45,16.75,4.23,17.93
choconut ice cream,273.96,23.13,5.04,18.49
pear chocholate sunday,183.49,15.02,2.08,13.11
chocolate sauce,263.2,43.21,1.91,10.39
coffee ice cream,150.62,14.09,3.15,9.43
coffee pear alaska,203.99,19.36,2.88,13.22
crunchy butterscotch,277.32,19.92,3.11,20.99
peach melba ice cream,200.85,16.31,2.06,14.51
vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45
grape and orange whip,57.39,6.72,1.41,2.62
honey banana cream,125.49,13.64,2.78,6.68
raspberry bavarian cream,150.1,17.82,3.34,7.88
fruit delight,107.09,9.11,2.09,7.09
creamy chocolate mousse,230.52,9.53,6.85,18.16
cold lemon souffle,169.87,15.62,5.89,9.78
cold orange souffle,173.19,16.27,5.94,9.82
cold pineapple souffle,181.22,16.85,6.23,10.39
cold vanilla souffle,179.54,16.29,6.22,10.32
cold chocolate souffle,187.53,17.22,6.37,10.86
stewed fruit (with pear),74.32,18.22,0.25,0.32
apricot fool,240.79,33.64,1.54,11.35
pavlova,200.6,21.84,1.84,12.29
apple crumb pudding,220.85,35.17,1.54,8.87
steamed cake with chocolate sauce,301.91,29.06,4.49,19.01
hot lemon souffle,155.25,16.31,5.29,7.93
gulab jamun with milk powder,471.15,28.24,0.85,40.15
chum chum,130.05,28.27,1.52,1.92
dil bahar,130.05,28.27,1.52,1.92
rasbhari,130.05,28.27,1.52,1.92
rajbogh,133.7,28.16,1.71,2.28
rasgulla,118.64,25.79,1.38,1.75
rasmalai,135.55,29.17,1.61,2.11
khoa coconut burfi,411.45,36.55,9.98,26.01
danedar burfi,102.68,12.33,3.24,4.72
semolina burfi (suji/rava burfi),348.67,47.1,3.47,16.86
pumpkin coconut burfi (kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66
khoa ladoo,396.02,34.43,12.21,24.09
wheat and gram flour ladoo (atta besan ladoo),501.7,50.5,9.38,29.86
semolina ladoo with nuts (suji/rava ladoo with nuts),441.84,48.02,5.44,25.45
sesame chickpeas brittle (til aur channe ki chikki),282.74,50.49,8.5,4.66
murmura chikki,253.82,59.59,2.12,0.32
masala onion pakora/pakoda (pyaaz ke pakode),551.64,6.48,2.05,57.61
masala green chilli pakora/pakoda (hari mirch kay pakode),668.76,5.55,2.22,71.01
chicken pakora/pakoda,590.09,4.55,6.03,60.98
fish pakora/pakoda,577.03,4.55,5.97,59.52
paneer cutlet,672.2,7.62,4.59,69.38
sago cutlet/vadas (sabudana cutlet/vadas),558.76,11.23,0.56,56.97
poshtik cutlet,496.45,7.39,2.0,50.94
egg cutlet (anda cutlet),575.02,5.77,2.45,60.25
minced meat cutlet,531.86,5.61,5.1,54.47
vegetable samosa,443.11,13.22,2.21,42.22
plain urad dal vada (uzunne vada/minapa garelu/ulundu vadai/medu vada),745.5,9.7,4.39,76.32
masala urad dal vada,703.78,9.93,4.32,71.62
khaman (dhokla),54.73,5.36,1.92,2.8
instant dhokla,207.11,24.11,7.66,9.37
tomato ginger chutney (tamatar adarak ki chutney),44.66,9.11,1.05,0.32
mint tomato chutney (pudinay aur tamatar ki chutney),43.65,8.22,1.53,0.36
coriander chutney (hare dhaniye ki chutney),42.86,8.16,1.38,0.37
gooseberry chutney (amla chutney),43.02,8.83,1.44,0.62
walnut chutney (akhrot ki chutney),370.43,8.91,9.44,33.46
saunth/sonth chutney with ginger,84.22,20.62,0.28,0.11
gun powder chutney,312.34,47.65,21.55,2.67
dessicated coconut chutney (sookhe kase nariyal ki chutney),346.36,36.72,12.88,15.88
curd mint dip,76.13,9.11,4.82,2.44
curd vegetable dip,56.21,6.04,3.88,1.94
mayonnaise vegetable dip,241.27,4.8,3.01,23.44
tomato and cucumber sandwich (tamatar aur kheere ka sandwich),150.68,20.51,4.03,6.31
tomato sandwich (grilled),189.92,21.29,6.26,9.39
french sandwich (toasted),186.75,14.82,6.82,11.51
peanut butter cucumber sandwich,243.33,29.76,9.04,10.56
mint and peanut sandwich,273.59,31.83,7.18,13.88
spicy chutney sandwich,249.58,34.03,8.74,9.58
chicken walnut sandwich (chicken aur akhrot ke sandwich),285.78,22.62,12.58,16.77
rolled sandwich,293.07,34.69,6.45,15.29
ribbon sandwich,239.26,24.76,6.26,13.37
checker board sandwich,348.37,25.94,7.37,24.65
submarine sandwich,216.92,13.6,6.09,15.32
cheese open sandwich,274.07,28.42,9.84,14.24
sunset and sunrise open sandwich,241.31,18.89,8.58,15.14
danish luncheon sandwich,193.82,17.77,9.03,10.1
chicken and corn open sandwich,188.16,19.21,8.63,8.83
chocolate sponge cake,239.86,39.54,9.13,5.51
chocolate swiss roll,306.08,26.97,6.01,19.76
lemon curd filling,225.62,26.41,3.43,12.58
jam filling,184.62,46.15,0.0,0.0
chocolate pastry,243.37,32.24,7.05,10.12
assorted pastry,230.74,31.99,6.78,8.91
orange gateau,178.05,27.01,4.78,6.02
black forest gateau,217.82,30.57,5.94,8.58
lemon cake,373.85,43.1,5.29,20.63
dundee cake,396.62,41.4,7.78,22.7
victorian sandwich cake,373.09,44.74,5.18,19.83
chocolate eggless cake,312.01,43.45,6.66,13.19
orange eggless cake,355.62,52.65,7.16,13.82
chocolate glace icing,436.29,62.43,3.22,20.8
butter icing,500.72,71.64,0.19,25.37
chocolate butter icing,469.59,61.72,3.21,24.77
almond biscuit (badam ke biscuit),407.74,52.14,6.25,19.7
orange biscuit,354.78,62.11,3.63,11.01
gingerman biscuit,357.43,55.24,6.26,12.73
coffee drops,443.07,43.06,7.57,27.16
christmas biscuit,406.07,60.97,5.67,15.88
christmas wreath biscuit,386.05,58.07,5.43,15.01
christmas bell biscuit,404.85,60.79,5.66,15.84
christmas star biscuit,392.03,74.54,3.54,10.04
christmas tree biscuit,385.63,58.41,5.43,15.0
chocolate cream shells,427.17,59.26,5.1,19.34
jelly biscuit,404.61,55.24,4.23,19.33
cherry and walnut cookies,422.6,59.35,5.63,18.75
cheese straws,382.0,30.61,9.83,24.28
butterfly biscuit,341.45,25.33,9.98,22.11
flan pastry,445.8,47.84,6.72,25.04
fruit flan,261.35,34.71,3.3,12.48
orange cream flan,280.28,36.16,4.73,13.59
fruit puree tart,286.5,30.42,3.35,16.83
apple banana pie,243.99,32.12,3.13,11.39
lemon chiffon pie,259.31,27.63,4.88,14.52
orange chiffon pie,207.57,23.14,3.89,11.16
cream buns,215.74,14.16,4.45,15.81
savoury puffs,190.79,10.8,9.51,15.24
choux swans,216.34,14.92,4.35,15.6
potato aigrettes,530.03,8.01,2.35,54.24
cream horns,408.23,23.12,3.42,33.55
savoury cheese horns,295.15,21.38,5.66,20.71
paneer patties,338.58,22.79,7.6,23.96
vegetable patties,261.92,20.98,4.01,17.74
pearl millet infant food (bajra shishu aahaar),362.44,62.1,11.98,6.62
sajina,345.26,66.87,10.81,3.03
cereal mix,120.81,21.84,3.32,2.02
pulse mix,83.29,16.0,3.16,0.54
shishu ahar,93.37,17.42,2.61,1.43
cereal pulse mix with amylase rice flour,151.57,27.8,4.27,2.74
banana groundnut paste/puree,213.19,36.15,4.27,5.45
rice dal porridge (chawal dal ki khichdi/khichri),383.33,65.04,10.8,8.33
lentils and semolina porridge (dal suji porridge/daliya),117.29,23.19,3.26,1.06
spinach khichri (palak khichri/khichdi),102.18,17.35,3.43,1.91
vegetable mix,174.21,36.02,4.7,0.94
lentils and wheat porridge (dal wheat porridge/daliya ),52.54,8.36,2.71,0.94
maize porridge,89.57,15.64,2.14,1.89
spinach peanut burfi (palak aur mungfali ki burfi),105.37,13.59,3.36,4.39
split bengal gram burfi/fudge (channa dal burfi),287.36,54.63,4.65,7.09
chickpea flour cookies (sweet besan rounds/cookies),207.01,39.64,4.29,3.42
pearl millet mathri (bajra mathri),785.08,7.42,1.82,83.12
sesame biscuit (til ke biscuit),424.03,53.65,8.27,19.34
fermented bengal gram vada (khameerikrit/ufna hua channa dal ka vada),657.57,8.68,4.05,67.19
poshtik namak paras,613.39,19.52,6.49,56.58
soya chikki,423.7,62.89,7.18,15.51
besan bathua chilla/cheela,373.82,40.65,11.48,18.57
wheat flour and nuts ladoos (atta nuts ladoos),391.9,44.31,9.46,19.19
gram flour and semolina dhokla (besan suji dhokla),198.91,25.92,8.52,7.1
atta dal burfi,298.8,40.64,6.66,12.47
soya roti,283.96,40.03,9.18,9.23
poshtik khichdi/khichri,93.37,15.64,3.04,1.88
namkeen daliya,295.11,49.32,8.29,7.99
sprouts upma,316.25,44.96,9.5,10.44
semolina idli (suji/rava idli),206.39,33.67,9.34,3.47
poshtik chilla/cheela,159.53,27.47,4.85,3.04
stuffed bittergourd (dry) (bharwa karela),217.65,2.49,1.29,22.38
cauliflower potato canjee,16.79,2.63,0.57,0.39
creamed spinach,96.91,4.44,5.18,6.39
mango milkshake with ice cream (aam milkshake ice cream ke saath),68.35,9.18,1.93,2.8
pineapple milkshake with ice cream (ananas milkshake ice cream ke saath),68.49,9.33,1.93,2.75
orange milkshake with ice cream (narangi milkshake ice cream ke saath),67.82,9.15,1.95,2.75
woodapple juice (bel ka sharbat),34.18,6.51,0.63,0.7
sattu drink,23.38,5.16,0.56,0.14
apple and honey sorbet (seb aur shehad ka sharbat),121.3,30.74,0.15,0.29
thandai,101.18,9.13,3.59,5.89
cucumber sharbat (kheere ka sharbat),27.28,6.64,0.26,0.06
apple oats chia seed smoothie,85.64,13.07,3.49,2.48
nannari sharbat,88.79,23.62,0.01,0.01
semolina milk drink (thari kanji),44.16,6.93,0.98,1.36
saffron milk (kesariya doodh),102.18,12.64,3.17,4.57
black rice kheer (chak-hao kheer),147.94,22.93,4.37,4.91
coconut kheer (nariyal ki kheer),162.61,14.42,3.4,10.55
apple sago payasam (seb aur sabudana ki kheer),136.5,14.4,3.13,7.66
kesari bath,244.57,31.38,2.4,12.59
putharekulu,318.3,59.61,3.66,7.55
mango malpua,334.64,12.84,1.65,30.67
mango vanilla custard,147.63,18.41,3.43,7.04
kiwi granola pudding,280.99,32.33,5.6,15.36
oats burfi,425.19,62.47,8.89,17.27
lotus seed halwa (kamal gattay ka halwa),370.55,39.56,7.79,20.69
amaranth ladoo (rajgira ladoo),454.15,51.33,10.12,22.7
chhena poda,344.57,33.64,13.68,17.94
sweet couscous dessert,196.2,29.69,3.81,7.69
sweetened yogurt (shrikhand),107.18,16.02,5.27,2.89
thickened sweetened milk (rabri),102.79,10.55,3.52,5.35
gram flour halwa (besan halwa),276.79,25.78,5.88,17.3
prawn sandwich,169.65,11.89,10.36,9.27
watercress sandwich,229.42,28.03,5.17,11.47
fish sandwich,150.2,10.09,4.72,10.37
kidney bean sandwich with cottage cheese,176.64,18.86,9.85,6.84
finger millet biscuit (ragi biscuit),458.56,52.69,4.03,25.79
buttermilk biscuit,322.54,34.93,5.76,17.5
lemon cookies,394.48,42.19,5.63,23.02
sweet potato biscuit (shakarkand ke biscuit),296.4,38.13,5.14,13.31
raspberry shortbread cookies,441.12,61.25,3.0,21.25
pumpkin cookies,218.4,44.69,2.51,3.93
greenpea cookies,159.42,23.07,6.53,4.24
sunflower cookies,520.62,40.06,9.49,36.28
cardamom cookies (elaichi cookies),400.49,53.99,5.1,19.12
hazelnut cookies,493.32,39.44,6.25,34.97
milk cookies,459.43,48.43,10.49,24.96
cranberry cookies,272.48,36.39,3.92,12.66
olive biscuit,438.29,55.01,3.2,23.75
tutti fruitti biscuit,420.78,53.12,5.21,17.9
peach blueberry preserves,177.38,45.76,0.53,0.2
pear preserves (naashpati ka murabba),101.24,25.67,0.25,0.19
starfruit preserves,128.93,33.62,0.24,0.12
gooseberry pickle (amla ka achaar),278.58,7.61,1.55,27.61
lotus stem pickle (kamal kakdi ka achar),102.69,20.07,1.44,1.6
date pickle (khajoor ka achaar),182.29,34.66,1.68,4.21
garlic pickle (lahasun ka achar),413.62,9.75,3.72,39.88
fermented bamboo shoot pickle (mesu pickle),59.83,1.73,1.58,5.59
sweet peach pickle (aadoo ka achaar),144.64,37.01,0.46,0.2
pickled mustard greens,13.12,1.05,1.51,0.22
small onion pickle,16.86,2.76,1.65,0.64
green tomato pickle (haray tamatar ka achaar),193.26,2.87,1.23,19.67
pickled cabbage,13.69,2.56,0.39,0.14
coconut pickle (nariyal ka aachar),517.26,11.53,3.02,51.71
potato pickle (aloo ka achaar),369.14,7.87,2.07,36.46
mango murabba candy,293.35,77.32,0.27,0.05
afghani chicken,151.51,1.95,15.66,9.07
fish orly,563.7,4.27,5.87,58.18
hariyali fish tikka,150.24,2.21,14.01,9.41
chicken manchurian,142.34,6.06,9.53,11.96
handi chicken,166.02,1.49,12.32,12.46
lemon chicken,169.79,0.55,20.2,9.66
lemon butter fish,160.25,0.75,16.38,10.26
baked eggs in tomato sauce,80.05,3.78,4.92,5.22
egg in a pepper,128.78,0.17,12.64,8.68
spinach mushroom scrambled egg (palak mushroom bhurji),158.85,0.59,13.28,11.51
corn omelette/omlet,166.93,1.57,11.37,12.89
cajun chicken,184.94,1.94,12.69,13.99
paaner do pyaza,127.7,3.41,4.22,10.87
cabbage manchurian (pattagobhi manchurian),224.26,4.85,0.64,22.48
gobi 65,278.29,3.59,0.56,29.11
paneer lababdar,105.48,3.37,3.98,8.46
roasted cauliflower steak,78.68,2.02,2.05,6.7
sauteed radishes with green beans,94.32,6.04,2.41,6.61
garlic chutney/poondu chutney (lahasun ki chutney),255.51,20.44,3.34,17.55
schezwan chutney,205.19,10.79,3.33,17.72
onion chutney (pyaaz ki chutney/vengaya chutney),143.94,13.52,2.97,8.38
dates chutney (khajoor ki chutney),103.57,21.69,1.07,1.12
chicken salad,338.19,1.3,15.33,30.26
macaroni salad,262.19,21.63,5.02,17.78
cabbage raita (pattagobhi raita),84.84,5.25,3.24,5.76
pomegranate raita (anaar ka raita),72.64,7.15,4.05,3.24
onion raita (pyaaz ka raita),71.56,7.86,4.86,2.43
green chilli raita (hari mirch ka raita),77.13,7.66,5.58,2.92
kale salad,177.71,5.01,4.86,15.33
spinach and paneer souffle,186.19,9.64,7.56,13.49
masala souffle,123.51,8.02,6.38,7.37
chicken and cheese souffle,182.35,3.47,9.07,14.74
tamarind chutney (chintapandu pachadi/puli chutney),109.15,25.07,0.88,0.48
pav bhaji masala,230.47,29.15,9.13,10.96
green chutney,79.42,10.01,5.42,1.6
sago khitchdi/khichri (sabudana khitchdi/khichri),187.16,22.41,2.72,10.1
gram flour chilla/cheela (besan chilla/cheela),135.93,21.03,7.8,2.85
vegetable namkeen jave,112.23,18.98,2.93,2.51
khakhra,178.5,27.66,4.78,5.32
moong bean dosa (pesarattu),285.96,31.91,12.32,11.67
methi thepla,346.16,41.34,8.98,15.95
rice puttu (ari puttu),81.98,11.82,1.26,3.13
buckwheat pancake (khura),263.3,27.28,2.91,16.43
quinoa khichdi/khichri,64.01,8.83,3.18,1.59
khakhra chaat,358.66,16.64,4.52,30.65
banana appam,469.81,20.06,1.17,42.53
veg manchurian,585.64,6.82,0.89,61.65
pav bhaji,96.53,11.99,2.66,4.32
rice murukku,593.99,33.29,5.41,48.22
bhel puri,509.89,16.47,3.52,47.91
semolina dhokla (suji/rava dhokla),194.91,30.86,5.44,5.2
spicy corn chaat,479.8,11.45,4.61,46.55
jackfruit fritters (ponsa mulik/kathal ka pakora),597.79,24.0,2.34,54.41
banana chips (kele ke chips),665.67,7.32,0.37,70.46
wheat cake,314.63,41.13,4.79,14.95
mango cheesecake,152.46,20.06,2.39,7.3
